start,event,end,fclass,rads,is_analyzable,s_time,e_time
2021-10-27 21:53:00,2021-10-27 21:59:00,2021-10-27 22:05:00,C1.1,-,0,2021-10-27 21:00:00,2021-10-27 23:00:00
2021-10-27 22:07:00,2021-10-27 22:22:00,2021-10-27 22:27:00,C1.6,-,0,2021-10-27 21:00:00,2021-10-27 23:00:00
2021-10-27 22:35:00,2021-10-27 22:44:00,2021-10-27 23:00:00,C1.1,-,0,2021-10-27 22:00:00,2021-10-28 00:00:00
2021-10-28 15:17:00,2021-10-28 15:35:00,2021-10-28 15:48:00,X1.0,-,0,2021-10-28 14:00:00,2021-10-28 17:00:00
2021-10-28 18:07:00,2021-10-28 18:10:00,2021-10-28 18:14:00,C3.1,-,0,2021-10-28 17:00:00,2021-10-28 19:00:00
2021-10-28 19:34:00,2021-10-28 19:45:00,2021-10-28 20:03:00,C3.1,-,0,2021-10-28 19:00:00,2021-10-28 21:00:00
2021-10-28 21:02:00,2021-10-28 21:07:00,2021-10-28 21:11:00,C1.5,-,0,2021-10-28 20:00:00,2021-10-28 22:00:00
2021-10-30 15:12:00,2021-10-30 15:29:00,2021-10-30 15:38:00,C3.1,-,0,2021-10-30 14:00:00,2021-10-30 17:00:00
2021-10-30 16:18:00,2021-10-30 16:21:00,2021-10-30 16:25:00,C1.2,-,0,2021-10-30 15:00:00,2021-10-30 17:00:00
2021-10-31 18:16:00,2021-10-31 18:27:00,2021-10-31 18:32:00,C1.2,-,0,2021-10-31 17:00:00,2021-10-31 20:00:00
2021-10-31 19:51:00,2021-10-31 20:00:00,2021-10-31 20:04:00,C3.2,-,0,2021-10-31 19:00:00,2021-10-31 21:00:00
2021-11-01 17:28:00,2021-11-01 18:01:00,2021-11-01 18:44:00,C1.3,-,0,2021-11-01 16:00:00,2021-11-01 20:00:00
2021-11-01 20:35:00,2021-11-01 20:44:00,2021-11-01 20:48:00,C2.1,-,0,2021-11-01 20:00:00,2021-11-01 22:00:00
2021-11-01 21:05:00,2021-11-01 21:33:00,2021-11-01 21:51:00,C4.0,-,0,2021-11-01 20:00:00,2021-11-01 23:00:00
2021-11-01 23:35:00,2021-11-01 23:40:00,2021-11-01 23:44:00,C4.5,-,0,2021-11-01 23:00:00,2021-11-02 01:00:00
2021-11-03 20:56:00,2021-11-03 21:17:00,2021-11-03 21:40:00,C5.2,-,0,2021-11-03 20:00:00,2021-11-03 23:00:00
2021-11-04 14:41:00,2021-11-04 14:53:00,2021-11-04 15:02:00,C2.9,-,0,2021-11-04 14:00:00,2021-11-04 16:00:00
2021-11-05 15:21:00,2021-11-05 15:30:00,2021-11-05 15:34:00,C1.6,-,0,2021-11-05 14:00:00,2021-11-05 17:00:00
2021-11-05 21:36:00,2021-11-05 21:57:00,2021-11-05 22:16:00,C2.3,-,0,2021-11-05 21:00:00,2021-11-05 23:00:00
2021-11-09 15:47:00,2021-11-09 17:02:00,2021-11-09 17:37:00,M2.0,-,0,2021-11-09 15:00:00,2021-11-09 19:00:00
2021-12-04 15:04:00,2021-12-04 15:34:00,2021-12-04 15:48:00,C1.8,-,0,2021-12-04 14:00:00,2021-12-04 17:00:00
2021-12-04 15:48:00,2021-12-04 15:59:00,2021-12-04 16:12:00,C1.8,-,0,2021-12-04 15:00:00,2021-12-04 17:00:00
2021-12-04 19:30:00,2021-12-04 19:41:00,2021-12-04 19:51:00,C1.3,-,0,2021-12-04 19:00:00,2021-12-04 21:00:00
2021-12-04 22:07:00,2021-12-04 22:15:00,2021-12-04 22:25:00,C1.6,-,0,2021-12-04 21:00:00,2021-12-04 23:00:00
2021-12-04 23:21:00,2021-12-04 23:59:00,2021-12-05 00:14:00,C7.1,-,0,2021-12-04 22:00:00,2021-12-05 01:00:00
2021-12-04 23:21:00,2021-12-04 23:59:00,2021-12-05 00:14:00,C7.1,-,0,2021-12-04 22:00:00,2021-12-05 01:00:00
2021-12-05 19:14:00,2021-12-05 19:37:00,2021-12-05 19:56:00,C1.6,-,0,2021-12-05 18:00:00,2021-12-05 21:00:00
2021-12-12 21:09:00,2021-12-12 21:14:00,2021-12-12 21:22:00,C1.2,-,0,2021-12-12 20:00:00,2021-12-12 22:00:00
2021-12-14 15:51:00,2021-12-14 16:03:00,2021-12-14 16:20:00,C1.1,-,0,2021-12-14 15:00:00,2021-12-14 17:00:00
2021-12-14 16:35:00,2021-12-14 16:49:00,2021-12-14 16:56:00,C1.3,-,0,2021-12-14 16:00:00,2021-12-14 18:00:00
2021-12-14 20:23:00,2021-12-14 20:33:00,2021-12-14 20:43:00,C1.6,-,0,2021-12-14 19:00:00,2021-12-14 22:00:00
2021-12-14 20:43:00,2021-12-14 20:53:00,2021-12-14 21:00:00,C3.0,-,0,2021-12-14 20:00:00,2021-12-14 22:00:00
2021-12-14 21:55:00,2021-12-14 22:06:00,2021-12-14 22:12:00,C1.6,-,0,2021-12-14 21:00:00,2021-12-14 23:00:00
2021-12-14 23:12:00,2021-12-14 23:25:00,2021-12-14 23:44:00,C3.0,-,0,2021-12-14 22:00:00,2021-12-15 01:00:00
2021-12-14 23:44:00,2021-12-14 23:49:00,2021-12-14 23:56:00,C6.0,-,0,2021-12-14 23:00:00,2021-12-15 01:00:00
2021-12-15 14:09:00,2021-12-15 14:13:00,2021-12-15 14:21:00,C1.5,-,0,2021-12-15 13:00:00,2021-12-15 15:00:00
2021-12-15 14:27:00,2021-12-15 14:34:00,2021-12-15 14:38:00,C4.4,-,0,2021-12-15 13:00:00,2021-12-15 16:00:00
2021-12-16 15:19:00,2021-12-16 15:27:00,2021-12-16 15:31:00,C3.3,-,0,2021-12-16 14:00:00,2021-12-16 17:00:00
2021-12-16 19:58:00,2021-12-16 20:09:00,2021-12-16 20:20:00,C2.3,-,0,2021-12-16 19:00:00,2021-12-16 21:00:00
2021-12-16 20:29:00,2021-12-16 20:44:00,2021-12-16 21:06:00,C2.9,-,0,2021-12-16 19:00:00,2021-12-16 22:00:00
2021-12-16 23:35:00,2021-12-16 23:39:00,2021-12-16 23:43:00,C3.0,-,0,2021-12-16 23:00:00,2021-12-17 01:00:00
2021-12-17 17:39:00,2021-12-17 17:53:00,2021-12-17 18:08:00,C1.5,-,0,2021-12-17 17:00:00,2021-12-17 19:00:00
2021-12-17 22:22:00,2021-12-17 22:30:00,2021-12-17 22:36:00,C1.3,-,0,2021-12-17 21:00:00,2021-12-18 00:00:00
2021-12-18 17:27:00,2021-12-18 18:01:00,2021-12-18 18:36:00,C6.3,-,0,2021-12-18 16:00:00,2021-12-18 20:00:00
2021-12-19 16:15:00,2021-12-19 16:23:00,2021-12-19 16:27:00,C1.8,-,0,2021-12-19 15:00:00,2021-12-19 17:00:00
2021-12-19 19:04:00,2021-12-19 19:16:00,2021-12-19 19:28:00,C1.8,-,0,2021-12-19 18:00:00,2021-12-19 20:00:00
2021-12-19 20:59:00,2021-12-19 21:12:00,2021-12-19 21:27:00,C3.7,-,0,2021-12-19 20:00:00,2021-12-19 22:00:00
2021-12-20 15:57:00,2021-12-20 16:02:00,2021-12-20 16:06:00,C1.4,-,0,2021-12-20 15:00:00,2021-12-20 17:00:00
2021-12-20 17:15:00,2021-12-20 17:28:00,2021-12-20 17:32:00,C1.4,-,0,2021-12-20 16:00:00,2021-12-20 19:00:00
2021-12-20 17:32:00,2021-12-20 17:35:00,2021-12-20 17:39:00,C1.5,-,0,2021-12-20 17:00:00,2021-12-20 19:00:00
2021-12-20 20:23:00,2021-12-20 20:32:00,2021-12-20 20:41:00,C1.4,-,0,2021-12-20 19:00:00,2021-12-20 22:00:00
2021-12-20 20:45:00,2021-12-20 20:49:00,2021-12-20 20:55:00,C1.6,-,0,2021-12-20 20:00:00,2021-12-20 22:00:00
2021-12-20 22:47:00,2021-12-20 22:54:00,2021-12-20 23:04:00,C1.1,-,0,2021-12-20 22:00:00,2021-12-21 00:00:00
2021-12-21 15:44:00,2021-12-21 15:53:00,2021-12-21 15:58:00,C2.0,-,0,2021-12-21 15:00:00,2021-12-21 17:00:00
2021-12-21 17:35:00,2021-12-21 17:50:00,2021-12-21 18:04:00,C4.9,-,0,2021-12-21 17:00:00,2021-12-21 19:00:00
2021-12-21 19:02:00,2021-12-21 19:23:00,2021-12-21 19:53:00,C4.9,-,0,2021-12-21 18:00:00,2021-12-21 21:00:00
2021-12-21 20:36:00,2021-12-21 20:48:00,2021-12-21 21:00:00,C3.9,-,0,2021-12-21 20:00:00,2021-12-21 22:00:00
2021-12-21 22:29:00,2021-12-21 22:37:00,2021-12-21 23:08:00,C4.9,-,0,2021-12-21 21:00:00,2021-12-22 00:00:00
2021-12-22 17:56:00,2021-12-22 18:08:00,2021-12-22 18:26:00,C8.8,-,0,2021-12-22 17:00:00,2021-12-22 19:00:00
2021-12-22 19:31:00,2021-12-22 19:39:00,2021-12-22 19:45:00,C2.4,-,0,2021-12-22 19:00:00,2021-12-22 21:00:00
2021-12-22 20:42:00,2021-12-22 20:46:00,2021-12-22 20:50:00,C1.3,-,0,2021-12-22 20:00:00,2021-12-22 22:00:00
2021-12-22 21:20:00,2021-12-22 21:27:00,2021-12-22 21:32:00,C1.1,-,0,2021-12-22 20:00:00,2021-12-22 23:00:00
2021-12-22 22:05:00,2021-12-22 22:18:00,2021-12-22 22:33:00,C2.0,-,0,2021-12-22 21:00:00,2021-12-23 00:00:00
2021-12-22 23:44:00,2021-12-22 23:53:00,2021-12-23 00:02:00,C1.9,-,0,2021-12-22 23:00:00,2021-12-23 01:00:00
2021-12-22 23:44:00,2021-12-22 23:53:00,2021-12-23 00:02:00,C1.9,-,0,2021-12-22 23:00:00,2021-12-23 01:00:00
2021-12-23 13:52:00,2021-12-23 14:01:00,2021-12-23 14:06:00,C1.4,-,0,2021-12-23 13:00:00,2021-12-23 15:00:00
2021-12-23 14:54:00,2021-12-23 15:01:00,2021-12-23 15:09:00,C1.1,-,0,2021-12-23 14:00:00,2021-12-23 16:00:00
2021-12-23 17:35:00,2021-12-23 17:41:00,2021-12-23 17:46:00,C1.2,-,0,2021-12-23 17:00:00,2021-12-23 19:00:00
2021-12-23 18:38:00,2021-12-23 18:49:00,2021-12-23 19:06:00,C1.1,-,0,2021-12-23 18:00:00,2021-12-23 20:00:00
2021-12-23 21:55:00,2021-12-23 22:03:00,2021-12-23 22:24:00,C1.2,-,0,2021-12-23 21:00:00,2021-12-23 23:00:00
2021-12-23 23:30:00,2021-12-23 23:35:00,2021-12-23 23:39:00,C1.3,-,0,2021-12-23 23:00:00,2021-12-24 01:00:00
2021-12-24 21:57:00,2021-12-24 22:02:00,2021-12-24 22:07:00,C1.4,-,0,2021-12-24 21:00:00,2021-12-24 23:00:00
2021-12-24 22:27:00,2021-12-24 22:35:00,2021-12-24 22:53:00,C1.3,-,0,2021-12-24 21:00:00,2021-12-25 00:00:00
2021-12-24 22:56:00,2021-12-24 23:07:00,2021-12-24 23:20:00,C1.8,-,0,2021-12-24 22:00:00,2021-12-25 00:00:00
2021-12-25 15:47:00,2021-12-25 15:58:00,2021-12-25 16:08:00,C3.0,-,0,2021-12-25 15:00:00,2021-12-25 17:00:00
2021-12-25 16:14:00,2021-12-25 16:19:00,2021-12-25 16:24:00,C3.1,-,0,2021-12-25 15:00:00,2021-12-25 17:00:00
2021-12-25 18:53:00,2021-12-25 19:05:00,2021-12-25 19:15:00,C3.4,-,0,2021-12-25 18:00:00,2021-12-25 20:00:00
2021-12-26 18:46:00,2021-12-26 18:59:00,2021-12-26 19:10:00,C1.4,-,0,2021-12-26 18:00:00,2021-12-26 20:00:00
2021-12-26 20:00:00,2021-12-26 20:12:00,2021-12-26 20:20:00,C3.2,-,0,2021-12-26 19:00:00,2021-12-26 21:00:00
2021-12-27 19:37:00,2021-12-27 19:48:00,2021-12-27 20:00:00,C1.4,-,0,2021-12-27 19:00:00,2021-12-27 21:00:00
2021-12-27 23:28:00,2021-12-27 23:35:00,2021-12-27 23:42:00,C2.2,-,0,2021-12-27 22:00:00,2021-12-28 01:00:00
2021-12-28 15:59:00,2021-12-28 16:11:00,2021-12-28 16:20:00,M1.6,-,0,2021-12-28 15:00:00,2021-12-28 17:00:00
2021-12-31 17:11:00,2021-12-31 17:25:00,2021-12-31 17:40:00,C1.2,-,0,2021-12-31 16:00:00,2021-12-31 19:00:00
2021-12-31 19:32:00,2021-12-31 19:46:00,2021-12-31 20:02:00,C8.1,-,0,2021-12-31 19:00:00,2021-12-31 21:00:00
